id,name
0,Poking a hole into some substance
1,Spilling something behind something
2,Poking something so that it spins around
3,Putting something onto a slanted surface but it doesn't glide down
4,Spilling something next to something
5,Pretending to spread air onto something
6,"Trying to pour something into something, but missing so it spills next to it"
7,Poking a hole into something soft
8,Pulling two ends of something so that it separates into two pieces
9,Poking a stack of something without the stack collapsing
10,Lifting a surface with something on it but not enough for it to slide down
11,Pouring something into something until it overflows
12,Twisting (wringing) something wet until water comes out
13,Spilling something onto something
14,Failing to put something into something because something does not fit
15,Pouring something onto something
16,Pulling something onto something
17,Poking a stack of something so the stack collapses
18,Pulling two ends of something so that it gets stretched
19,Pretending or trying and failing to twist something
20,Pouring something out of something
21,"Pretending to pour something out of something, but something is empty"
22,Lifting a surface with something on it until it starts sliding down
23,Pretending or failing to wipe something off of something
24,Pretending to scoop something up with something
25,"Tipping something with something in it over, so something in it falls out"
26,Something being deflected from something
27,Pretending to put something underneath something
28,"Letting something roll up a slanted surface, so it rolls back down"
29,Pushing something onto something
30,"Putting something that can't roll onto a slanted surface, so it stays where it is"
31,Putting something onto something else that cannot support it so it falls down
32,"Putting something that can't roll onto a slanted surface, so it slides down"
33,Putting something on a flat surface without letting it roll
34,Sprinkling something onto something
35,Pretending to sprinkle air onto something
36,Spreading something onto something
37,Tipping something over
38,Something colliding with something and both come to a halt
39,Digging something out of something
40,Pulling something from behind of something
41,Something colliding with something and both are being deflected
42,Moving something and something so they collide with each other
43,Trying but failing to attach something to something because it doesn't stick
44,Bending something until it breaks
45,Pulling two ends of something but nothing happens
46,Bending something so that it deforms
47,Moving something and something so they pass each other
48,Putting something on the edge of something so it is not supported and falls down
49,Pretending to poke something
50,Pushing something off of something
51,Wiping something off of something
52,Pulling something out of something
53,Pushing something so it spins
54,"Putting something that cannot actually stand upright upright on the table, so it falls on its side"
55,Burying something in something
56,Tilting something with something on it slightly so it doesn't fall down
57,Putting something underneath something
58,Moving part of something
59,Letting something roll down a slanted surface
60,Pretending to put something onto something
61,Plugging something into something but pulling it right out as you remove your hand
62,Poking something so that it falls over
63,Moving something across a surface without it falling down
64,Moving something across a surface until it falls down
65,"Laying something on the table on its side, not upright"
66,Pretending to put something behind something
67,Showing something to the camera
68,Pretending to squeeze something
69,Twisting something
70,Pretending to turn something upside down
71,Putting something upright on the table
72,Spinning something so it continues spinning
73,Trying to bend something unbendable so nothing happens
74,Throwing something in the air and letting it fall
75,Dropping something behind something
76,Letting something roll along a flat surface
77,Piling something up
78,Pretending to be tearing something that is not tearable
79,Showing something next to something
80,Attaching something to something
81,Putting something in front of something
82,Showing a photo of something to the camera
83,Unfolding something
84,Turning the camera upwards while filming something
85,Moving something towards the camera
86,Turning the camera downwards while filming something
